"type","external_gene_name","ensembl_gene_id"
"astrocyte","A2ML1","ENSG00000166535"
"astrocyte","AADAT","ENSG00000109576"
"astrocyte","AASS","ENSG00000008311"
"astrocyte","ABCA12",NA
"astrocyte","ABCA7","ENSG00000064687"
"astrocyte","ABCC11",NA
"astrocyte","ABCD2","ENSG00000173208"
"astrocyte","ABLIM1","ENSG00000099204"
"astrocyte","ABLIM11",NA
"astrocyte","AC002429.2",NA
"astrocyte","AC002429.5","ENSG00000236197"
"astrocyte","AC004004.2",NA
"astrocyte","AC004019.13",NA
"astrocyte","AC005197.2",NA
"astrocyte","AC007879.4",NA
"astrocyte","AC008067.2",NA
"astrocyte","AC008957.2",NA
"astrocyte","AC009120.4",NA
"astrocyte","AC009501.4",NA
"astrocyte","AC010975.2",NA
"astrocyte","AC011516.2",NA
"astrocyte","AC011747.4",NA
"astrocyte","AC012370.3",NA
"astrocyte","AC012456.3",NA
"astrocyte","AC013267.1",NA
"astrocyte","AC016716.1",NA
"astrocyte","AC016716.2",NA
"astrocyte","AC016907.3",NA
"astrocyte","AC025811.3",NA
"astrocyte","AC072062.1",NA
"astrocyte","AC074363.1",NA
"astrocyte","AC074391.1",NA
"astrocyte","AC090625.1",NA
"astrocyte","AC099754.1",NA
"astrocyte","AC110754.3",NA
"astrocyte","AC114877.3",NA
"astrocyte","ACAA2","ENSG00000167315"
"astrocyte","ACACB","ENSG00000076555"
"astrocyte","ACADVL","ENSG00000072778"
"astrocyte","ACBD7","ENSG00000176244"
"astrocyte","ACKR3","ENSG00000144476"
"astrocyte","ACO2","ENSG00000100412"
"astrocyte","ACOT11","ENSG00000162390"
"astrocyte","ACOT111",NA
"astrocyte","ACOX2","ENSG00000168306"
"astrocyte","ACP6","ENSG00000162836"
"astrocyte","ACSBG1","ENSG00000103740"
"astrocyte","ACSF2","ENSG00000167107"
"astrocyte","ACSL6","ENSG00000164398"
"astrocyte","ACSL61",NA
"astrocyte","ACSL62",NA
"astrocyte","ACSS1","ENSG00000154930"
"astrocyte","ACSS11",NA
"astrocyte","ACSS3","ENSG00000111058"
"astrocyte","AD000092.3",NA
"astrocyte","ADA","ENSG00000196839"
"astrocyte","ADAM20P1",NA
"astrocyte","ADAMTSL5",NA
"astrocyte","ADCY2","ENSG00000078295"
"astrocyte","ADCY8","ENSG00000155897"
"astrocyte","ADCYAP1R1","ENSG00000078549"
