"ensembl_gene_id","schizo_sft8_minSize30_cutHeight0.15","schizo_sft8_minSize30_cutHeight0.2","schizo_sft8_minSize30_cutHeight0.25","schizo_sft8_minSize50_cutHeight0.15","schizo_sft8_minSize50_cutHeight0.2","schizo_sft8_minSize50_cutHeight0.25","schizo_sft9_minSize30_cutHeight0.15","schizo_sft9_minSize30_cutHeight0.2","schizo_sft9_minSize30_cutHeight0.25","schizo_sft9_minSize50_cutHeight0.15","schizo_sft9_minSize50_cutHeight0.2","schizo_sft9_minSize50_cutHeight0.25","schizo_sft10_minSize30_cutHeight0.15","schizo_sft10_minSize30_cutHeight0.2","schizo_sft10_minSize30_cutHeight0.25","schizo_sft10_minSize50_cutHeight0.15","schizo_sft10_minSize50_cutHeight0.2","schizo_sft10_minSize50_cutHeight0.25","bipolar_sft8_minSize30_cutHeight0.15","bipolar_sft8_minSize30_cutHeight0.2","bipolar_sft8_minSize30_cutHeight0.25","bipolar_sft8_minSize50_cutHeight0.15","bipolar_sft8_minSize50_cutHeight0.2","bipolar_sft8_minSize50_cutHeight0.25","bipolar_sft9_minSize30_cutHeight0.15","bipolar_sft9_minSize30_cutHeight0.2","bipolar_sft9_minSize30_cutHeight0.25","bipolar_sft9_minSize50_cutHeight0.15","bipolar_sft9_minSize50_cutHeight0.2","bipolar_sft9_minSize50_cutHeight0.25","bipolar_sft12_minSize30_cutHeight0.15","bipolar_sft12_minSize30_cutHeight0.2","bipolar_sft12_minSize30_cutHeight0.25","bipolar_sft12_minSize50_cutHeight0.15","bipolar_sft12_minSize50_cutHeight0.2","bipolar_sft12_minSize50_cutHeight0.25","bipolar_sft14_minSize30_cutHeight0.15","bipolar_sft14_minSize30_cutHeight0.2","bipolar_sft14_minSize30_cutHeight0.25","bipolar_sft14_minSize50_cutHeight0.15","bipolar_sft14_minSize50_cutHeight0.2","bipolar_sft14_minSize50_cutHeight0.25","mdd_sft9_minSize30_cutHeight0.15","mdd_sft9_minSize30_cutHeight0.2","mdd_sft9_minSize30_cutHeight0.25","mdd_sft9_minSize50_cutHeight0.15","mdd_sft9_minSize50_cutHeight0.2","mdd_sft9_minSize50_cutHeight0.25","mdd_sft10_minSize30_cutHeight0.15","mdd_sft10_minSize30_cutHeight0.2","mdd_sft10_minSize30_cutHeight0.25","mdd_sft10_minSize50_cutHeight0.15","mdd_sft10_minSize50_cutHeight0.2","mdd_sft10_minSize50_cutHeight0.25","mdd_sft11_minSize30_cutHeight0.15","mdd_sft11_minSize30_cutHeight0.2","mdd_sft11_minSize30_cutHeight0.25","mdd_sft11_minSize50_cutHeight0.15","mdd_sft11_minSize50_cutHeight0.2","mdd_sft11_minSize50_cutHeight0.25","mdd_sft12_minSize30_cutHeight0.15","mdd_sft12_minSize30_cutHeight0.2","mdd_sft12_minSize30_cutHeight0.25","mdd_sft12_minSize50_cutHeight0.15","mdd_sft12_minSize50_cutHeight0.2","mdd_sft12_minSize50_cutHeight0.25"
"ENSG00000110514","8","6","6","7","3","3","15","2","2","4","4","4","1","2","3","3","3","2","6","6","4","6","4","4","3","1","1","5","1","1","1","1","1","3","3","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000086015","5","7","7","5","6","7","10","10","4","7","7","7","8","7","4","2","2","1","6","6","4","12","9","8","9","4","3","3","6","6","4","5","5","5","4","3","6","5","5","0","0","0","5","1","1","5","5","4","5","5","4","6","6","4","7","5","3","5","5","4","6","3","3","4","4","1"
"ENSG00000169740","2","2","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","6","6","4","6","4","4","9","4","3","3","6","6","4","5","5","0","0","0","0","0","0","0","0","0","9","5","5","8","7","7","5","5","4","6","6","4","5","5","3","6","7","6","11","3","3","0","0","0"
"ENSG00000261609","17","13","14","1","1","1","1","1","1","8","8","8","19","16","6","6","6","5","21","16","5","7","5","5","20","13","11","9","5","5","12","10","4","7","6","4","10","8","3","6","5","1","14","10","10","1","1","1","13","12","10","12","2","3","11","10","9","4","4","3","13","10","10","5","5","4"
"ENSG00000169744","13","3","3","7","3","3","16","2","2","4","4","4","1","2","3","3","3","2","3","3","2","2","2","2","3","1","1","2","1","1","1","1","1","2","2","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","10","8","8","1","1","1"
"ENSG00000168298","7","3","3","4","3","3","24","16","14","4","4","4","1","2","3","5","5","4","28","22","15","2","2","2","2","1","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000168297","2","2","2","2","2","2","5","4","5","5","5","5","3","3","1","7","7","6","1","1","1","4","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000168291","3","4","4","3","4","4","8","8","6","2","2","2","6","5","5","0","0","0","2","2","3","5","3","3","2","1","1","2","1","1","3","3","3","2","2","1","9","3","1","3","3","1","3","2","2","3","2","2","4","4","2","2","3","2","4","3","4","2","2","2","3","2","2","3","3","3"
"ENSG00000149792","10","10","10","9","8","8","0","0","0","0","0","0","0","0","0","0","0","0","4","4","5","2","2","2","3","1","1","2","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000141854","3","4","4","3","4","4","13","7","8","2","2","2","0","0","0","0","0","0","7","9","1","4","1","1","11","2","2","13","9","9","9","2","2","1","1","2","11","9","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
